Name,Budget,Dateiname,Einsatz,Formate,Grain,Handling,ISO,Kurzbeschreibung,Look Beschreibung,Marke,Packshot,Sättigung,Tipp: Belichtung,Tipp: Dev,Tipp: Scan,Typ
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Portra 400,Premium,kodak-portra-400.jpg,"Portrait, Street, Sunny, Travel, Wedding","120, 35mm",Feinkorn,Tolerant,400,"Flexibler Profi-Farbfilm mit natürlichen Hauttönen und sehr hohem Dynamikumfang. Zuverlässige Wahl für Portraits, Reportage und Reisen bei unterschiedlichsten Lichtbedingungen.","Sanfte, warme Farben mit zarten Pastelltönen bei Überbelichtung. Sehr feines, organisches Korn und weicher Kontrast – besonders schmeichelhaft für Haut.",Kodak,Film%20Description/Portra_400.jpg,Natürlich,Für maximale Qualität als ISO 200 raten (+1 EV). Bei schwachem Licht ISO 400–800 möglich. Lichter sind sehr verzeihend.,"C-41 Standard. Push bis 800 sehr gut nutzbar, minimal härterer Look.","Neutraler Weißabgleich genügt. Schatten können leicht angehoben werden, ohne starken Kornzuwachs. Sehr scan-freundliche Farbstruktur.",Color Negative
Gold 200,Budget,kodak-gold-200.jpg,"Snapshot, Sunny, Travel","120, 35mm",Klassisch,Tolerant,200,"Günstiger Alltagsfilm mit warmem Look für Sonne, Reisen und spontane Aufnahmen. Einsteigerfreundlich und fehlerverzeihend.","Warme Grundtöne, besonders in Gelb- und Rotbereichen. Klassisches Korn, leicht nostalgischer Farbstich. Etwas stärkerer Kontrast bei hartem Licht.",Kodak,Film%20Description/Kodak_Gold_200.jpg,Mittel,"Gutes Licht bevorzugt → +1/3 bis +2/3 EV für saubere Schatten und etwas feineres Korn. In Schattenbereichen vorsichtig, da Zeichnung schnell verloren geht.","C-41 Standard. Push auf ISO 400 möglich, führt aber zu merklich mehr Korn und weniger Sanftheit.","Warme Farben bewusst nutzen, nicht zu stark neutralisieren. Schatten leicht anheben, um Muddy-Look zu vermeiden.",Color Negative
HP5 Plus,Medium,ilford-hp5-plus-400.jpg,"Action, Low Light, Portrait, Reportage, Street, Travel","120, 35mm",Klassisch,Tolerant,400,"Vielseitiger Schwarzweißfilm mit hohem Belichtungsspielraum. Perfekt für Street, Reportage und Situationen mit wenig Licht.","Klassisches, sichtbares Korn. Ausgewogene Kontraste mit guter Zeichnung in Schatten und Lichtern. Zeitloser Dokumentarlook.",Ilford,Film%20Description/Ilford_HP5_Plus.jpg,B&W,"Als ISO 400–800 top. Push bis 1600 oder 3200 problemlos möglich → stärkeres Korn, kräftigerer Look.","Sehr flexibel: ID-11 / D-76 für ausgewogenen Look, HC-110 für mehr Kontur, Rodinal für betontes Korn. Push-Entwicklung funktioniert hervorragend.","Kontrast oft etwas höher einstellen, aber Schatten nicht komplett öffnen → Filmcharakter behalten. Korn bewusst als Gestaltungselement nutzen.",B&W
Velvia 50,Premium,fujifilm-velvia-50-50.jpg,"Landscape, Studio, Sunny, Travel","120, 35mm, Sheet",Feinkorn,Präzise,50,Extrem gesättigter Diafilm für Landschaft und Natur. Maximale Farbdichte und Detailtreue bei idealen Lichtbedingungen.,"Sehr satte Farben (stark in Rot- und Grüntönen). Hoher Kontrast, tiefes Schwarz. Feinstes Korn, sehr hohe Schärfe.",Fujifilm,Film%20Description/Velvia_50.jpg,Vivid,Lichter schützen: lieber –0.3 bis –0.7 EV. Null Fehlertoleranz bei Überbelichtung.,"E-6 Standardprozess → Push nur in Ausnahmefällen, da zusätzliche Kontraststeigerung","Neutral scannen. Highlights schützen, Schwarztöne leicht anheben. Keine automatische Farbstichkorrektur auf Rot/Magenta – sonst verliert Velvia seinen typischen Look.",Slide
800T,Premium,cinestill-800t.jpg,"Experimental, Low Light, Neon, Night, Street","120, 35mm",Mittel,Mittel,800,Film mit Kinolook für Nacht- und Available-Light-Situationen. Ideal für urbane Szenen mit Kunstlicht und Neonreklamen.,"Kühle Farbtemperatur (Tungsten). Charakteristische rote Halation um Lichtquellen. Sichtbares Korn, ausgewogene Kontraste mit filmischem Flair.",Cinestill,Film%20Description/Cinestill_800T.jpg,Mittel,"Unter Kunstlicht ISO 800. Bei Tageslicht 85B-Filter oder manuell wärmen, sonst starker Blaustich. Bei wenig Licht sinnvoll leicht überbelichten (+1/3 EV), um Schattenzeichnung zu halten.",C-41 Standard. Kein Remjet → etwas mehr Halation und teils höhere Empfindung gegenüber Kratzern im Labor.,"Halation bewusst erhalten – nicht komplett neutralisieren. Weißabgleich sanft Richtung warm schieben, besonders bei Tageslicht-Aufnahmen.",Color Negative
Tri-X 400,Medium,kodak-tri-X-400.jpg,"Action, Low Light, Reportage, Street, Travel","120, 35mm",Klassisch,Tolerant,400,"Klassischer Schwarzweißfilm mit unverwechselbarem Charakter. Ideal für Street, Reportage und Situationen mit wenig Licht.","Markantes, grobkörnigeres Korn. Hoher Mikrokontrast. Typischer Zeitungs-Reportagelook: rau, direkt und sehr ausdrucksstark.",Kodak,Film%20Description/Tri-X_400.jpg,B&W,"Markantes, grobkörnigeres Korn. Hoher Mikrokontrast. Typischer Zeitungs-Reportagelook: rau, direkt und sehr ausdrucksstark.","Sehr vielseitig: D-76 für klassischen Look, Rodinal für ausgeprägtes Korn, HC-110 für etwas mehr Kontrast. Push-Entwicklung funktioniert hervorragend.",Kontrast oft etwas hoch → flacher scannen und Kontrast in der Nachbearbeitung gezielt setzen. Korn als Gestaltungselement beibehalten.,B&W
FP4 Plus,Medium,ilford-fp4plus-125.jpg,"Landscape, Portrait, Studio","120, 35mm",Feinkorn,Mittel,125,"Feinkörniger Schwarzweißfilm mit sehr guter Detailwiedergabe. Ideal für Portraits, Studio und kontrollierte Lichtsituationen.","Neutraler Tonbereich mit sauberen Graustufen. Feines Korn, gute Schärfe. Etwas geringerer Kontrast als HP5 – sehr klassischer, ruhiger Look.",Ilford,Film%20Description/Ilford_FP4_Plus.jpg,B&W,Bei ISO 100–125 arbeiten für bestes Ergebnis. Leichte Überbelichtung (+1/3 EV) sorgt für weiche Hauttöne und feinen Detailerhalt in den Schatten.,"D-76 / ID-11 für ausgewogenen Look. HC-110 für etwas mehr Kontrast und Schärfeeindruck. Push möglich, aber nicht optimal → Korn wirkt dann härter.","Neutrales Profil. Schatten nicht übertrieben öffnen, damit der charakteristisch klassische Eindruck bestehen bleibt. Feines Korn ermöglicht gute Vergrößerungen.",B&W
Delta 3200,Premium,ilford-delta-3200.jpg,"Action, Experimental, Low Light, Night, Street","120, 35mm",Grob,Mittel,3200,"Hochempfindlicher Schwarzweißfilm für vorhandenes Licht. Ideal für Nachtaufnahmen, Konzerte und schnelle Street-Szenen ohne Blitz.","Deutlich sichtbares, charaktervolles Korn. Hoher Kontrast, dramatische Tonwerte. Sehr urbaner, rauer Stil.",Ilford,Film%20Description/Ilford_Delta_3200.jpg,B&W,"Als ISO 1600–3200 belichten für beste Ergebnisse. In extrem wenig Licht +1 EV geben, um Schattenzeichnung zu erhalten.","Ideal zum Pushen: 3200 → 6400 möglich = intensiveres Korn, dramatischerer Look. Entwicklerwahl stark lookbestimmend: Microphen / DD-X für mehr Schattendetails.",Flacher scannen → Kontrast gezielt später setzen. Korn nicht weichbügeln — das ist Teil der Bildsprache.,B&W
Ektar 100,Premium,kodak-ektar-100.jpg,"Landscape, Studio, Sunny, Travel","120, 35mm",Feinkorn,Mittel,100,Farbfilm mit extrem feinem Korn und sehr hoher Schärfe. Ideal für Landschaften und detailreiche Motive bei gutem Licht.,"Sehr kräftige, gesättigte Farben. Hoher Mikrokontrast, besonders klare Rot- und Blautöne. Hauttöne können kühl und unnatürlich wirken.",Kodak,Film%20Description/Ektar_100.jpg,Vivid,"Als ISO 80–100 arbeiten. Bei hartem Sonnenlicht lieber –0.3 EV, um Clippen in Highlights zu vermeiden.","C-41 Standard. Push möglich, aber nicht ideal — Kontrast steigt und Farbbalance wird unruhiger.","Farbsättigung bewusst kontrollieren, starke Blau-/Rottöne leicht abmildern. Feines Korn ideal für große Prints.",Color Negative
Portra 160,Premium,kodak-portra-160.jpg,"Portrait, Studio, Travel, Wedding","120, 35mm",Feinkorn,Tolerant,160,"Feinkörniger Profi-Farbfilm mit sehr natürlicher Farbwiedergabe und exzellenter Detailreproduktion. Ideal für Portraits, Studio und kontrolliertes Licht.","Sehr weiche, neutrale Farbtöne. Extrem feines Korn mit hoher Schärfe. Besonders harmonische Hauttöne, weniger Pastell als Portra 400 bei Überbelichtung.",Kodak,Film%20Description/Portra_160.jpg,Natürlich,"Als ISO 100–125 raten (+1/3 bis +2/3 EV) ergibt die sanftesten Hauttöne. Bei gemischtem Licht ISO 160 belassen.
","C-41 Standardprozess. Push bis ISO 320 möglich, führt zu etwas mehr Kontrast ohne groben Qualitätsverlust.","Sehr neutrale Basis – Weißabgleich nur minimal korrigieren. Schatten vorsichtig öffnen, um den natürlichen Look beizubehalten.",Color Negative
Portra 800,Premium,kodak-portra-800.jpg,"Low Light, Portrait, Street, Travel, Wedding","120, 35mm",Mittel,Tolerant,800,"Lichtstarker Farbfilm mit sehr guten Hauttönen für Portraits, Weddings und Available-Light-Situationen. Ideal, wenn Portra-Look bei wenig Licht gefragt ist.","Etwas kräftigeres Korn als Portra 400, aber weiterhin weiche, natürliche Farben. Leicht warm, angenehme Hauttöne, guter Erhalt von Details in den Schatten.",Kodak,Film%20Description/Portra_800.jpg,Natürlich,"Für sauberere Ergebnisse gerne wie ISO 400–640 raten (+2/3 bis +1 EV). Bei sehr wenig Licht auf ISO 800 bleiben, um Verwackeln zu vermeiden.
","C-41 Standardprozess. Push bis ISO 1600 möglich, führt zu deutlich mehr Korn und Kontrast – eher stilistischer Effekt.","Leicht warme Grundtönung, besonders unter Kunstlicht. Weißabgleich sparsam korrigieren, um den typischen Portra-Look nicht zu verlieren. Schatten vorsichtig anheben, damit das Korn nicht zu dominant wird.",Color Negative
Ultramax 400,Budget,kodak-ultramax-400-400.jpg,"Snapshot, Street, Sunny, Travel",35mm,Mittel,Tolerant,400,"Günstiger Allround-Farbfilm für Alltag, Reisen und Street. Gute Ergebnisse bei fast allen Lichtsituationen, besonders draußen.","Kräftige, etwas warm verschobene Farben. Sichtbares, aber angenehmes Korn. Leicht höherer Kontrast für einen lebendigen, konsumententypischen Look.",Kodak,Film%20Description/Ultramax_400.jpg,Vivid,Am besten bei ISO 200 belichten (+1 EV) für sattere Farben und weniger Korn. Bei schwachem Licht auf ISO 400 bleiben.,"C-41 Standard. Push bis 800 möglich, aber Korn und Kontrast werden deutlich stärker.","Warmton leicht kontrollieren. Schatten vorsichtig aufhellen, sonst stärkeres Rauschen. Gut für leichte Farb-Punch-Looks.",Color Negative
Provia 100F,Premium,fujifilm-provia-100f-100.jpg,"Landscape, Studio, Travel","120, 35mm",Feinkorn,Präzise,100,"Neutraler Diafilm mit hoher Schärfe und feinem Korn. Ideal, wenn natürliche Farbwiedergabe und Detailtreue gefragt sind.","Kühle bis neutrale Farbbalance. Feines Korn, hohe Schärfe. Deutlich mehr Dynamikumfang als Velvia, aber weiterhin präzise Belichtung erforderlich.",Fujifilm,Film%20Description/Provia_100F.jpg,Natürlich,Auf die Highlights messen. Leicht unterbelichten (–0.3 EV) bewahrt die Zeichnung in hellen Bereichen.,"E-6 Standard. Push bis 200 möglich; Farben werden dabei etwas lebendiger, Kontrast steigt moderat.","Neutrales Profil, Blau/Magenta leicht kontrollieren bei Hauttönen. Tiefen minimal anheben, ohne die Schatten zu öffnen.",Color Negative
Fomapan 200,Budget,fomapan-200.jpg,"Experimental, Portrait, Studio","120, 35mm",Mittel,Mittel,200,"Günstiger Schwarzweißfilm mit klassischem Look. Geeignet für kontrolliertes Licht, Portraits und kreative Experimente.","Leicht härteres Korn als bei Premiumfilmen. Tonwerte neutral bis kühl, mittlerer Kontrast. Kann je nach Entwicklung etwas unvorhersehbar in den Schatten sein.",Foma,Film%20Description/Fomapan_200.jpg,B&W,"Als ISO 160–200 arbeiten für beste Schattenzeichnung. In kontrastreichem Licht lieber –1/3 EV halten, um Lichter zu schützen.","Rodinal für betontes Korn und knackigeren Look. D-76 / ID-11 für harmonischere Tonwerte. Pushentwicklung möglich, aber mit Qualitätsverlust (mehr Korn, härtere Schatten).","Kontrast bei Bedarf leicht erhöhen, um die Tontrennung zu optimieren. Vorsichtig mit Schattenaufhellung – sonst wirkt das Korn gröber.",B&W
Lomography 800,Medium,lomography-800.jpg,"Experimental, Low Light, Night, Snapshot, Street, Travel","120, 35mm",Mittel,Tolerant,800,"Vielseitiger 800er Farbfilm mit kräftigen Farben und solider Low-Light-Performance. Ideal für Reisen, Snapshot-Situationen und urbane Szenen bei wenig Licht.","Lebendige, teilweise unvorhersehbare Farben mit einem leicht analogen Retro-Touch. Sichtbares, aber charaktervoller Korn. Tendenziell wärmer und kontrastreicher.",Lomography,Film%20Description/Lomography_800.jpg,Vivid,Gerne leicht überbelichten (+1/3 bis +2/3 EV) für sattere Farben und etwas feineres Korn. Bei Night-Shots auf ISO 800 bleiben.,"C-41 Standard. Push bis 1600 möglich, verstärkt aber das Korn und erhöht die Farbsättigung deutlich.","Farbstiche mild halten, Weißabgleich nicht zu neutral setzen – die Filmcharakteristik lebt von ihrem Farb-Punch. Schatten mit Vorsicht aufhellen, da Korn dann hervortritt.",Color Negative
,,,,,,,,,,,,,,,,